label,text
1,wheel have scent
1,stamen involve plant
0,person carry elephant
0,earthworm eat meat
1,spinach have leave
1,mouse have hair
0,person bury regret
0,jailbird involve entertainment
1,stereo play disc
1,human have eye
1,sweetheart have feeling
1,flathead have smell
0,person move mountain
0,recipient emit odor
1,schooner use gas
1,fountain play music
0,sixpence have wheel
1,bikini have color
0,busman involve construction
1,person touch exerciser
0,kiwi have pit
1,person see highschool
0,sacker sell stuff
1,telemarketer involve number
0,clergy use electricity
0,person ride mouse
0,person eat litmus
1,carriage have wheel
1,eatery have smell
0,person smash scar
0,refinery involve education
0,person read thumb
0,hayloft have glass
0,person use labeler
0,contracts have nose
1,rain ruin tuxedo
1,okra have flower
0,notes have job
0,man carry guestroom
0,people use fracture
1,bottle hold water
0,egg have leg
1,tv use electicity
1,person hold baseball
0,microwave need water
1,people eat duckweed
1,people like embassy
0,person build rosebush
0,person wear typist
1,landmark have roof
0,person eat walked
1,person touch router
1,box have one
1,people use lamppost
1,hustler speak language
1,person hold truffle
1,vase cost $
1,person hold sage
1,horse have leg
1,camera involve computer
0,person find interior
0,whetstone have button
0,person eat bookmark
1,contract involve secretary
1,hairdryer make noise
1,pump have motor
0,collarbone have fur
1,person see driveway
0,human eat friend
0,cattleman involve office
1,roast contain meat
0,hope kill bacteria
0,person pour chair
0,pickle have cord
1,person touch springboard
1,person eat inquisitor
0,vase use electricity
0,fire hydrant emit light
1,park involve childrean
0,malaria involve person
0,trainload create something
0,synagogue take battery
1,kid use spade
1,dispenser hold beverage
1,cityscape have color
0,weight use electricity
0,kid have pincer
0,person smash keratin
1,restaurant involve food
0,person drive cartoon
1,syllabus involve crowd
1,family eat grass
1,restaurant serve lime
1,karate involve fighting
1,person see appointee
0,shack involve water
1,rhino eat grass
0,person eat collaborator
1,intern cost money
0,person drive methanol
1,alehouse require construction
0,hydroxide require work
1,mug cost lot
0,person eat midterm
0,bottle use electricity
1,guide make noise
0,person hold sun
0,person ride schoolbook
0,person eat submit
1,people use polyethylene
1,dog make noise
1,sparkplug use electricity
0,person wear midterm
0,hunchback take degree
0,person wear pills
0,shopper involve degree
1,kid use valve
0,broccoli have tooth
1,person touch scruff
0,infield provide shelter
1,corn have resemblance
0,everyone want puff
1,people share earplugs
0,triceratops have fur
0,fish have fur
0,person grow jellyfish
0,tinplate use electricity
1,person touch log
1,person open grille
0,cartographer involve politics
0,president pay $
1,donkey have fur
1,person smash chinaware
1,telegrapher have color
0,person hold seminary
1,city have building
0,pantry require uniform
0,spinout involve weapon
0,people like prison
0,person plant collar
0,yolk have liquor
0,person hold massive
1,painting have face
0,crematorium save life
0,sleep have arm
0,person drive bioluminescence
0,person earn stargazer
0,fingerprint make noise
1,bulb give light
0,person hold up
0,meat contain flavor
0,person smell constellation
0,vampire involve breathing
0,person eat mite
0,person use daggers
1,holder cost money
0,person eat sewage
1,boat use seat
1,person find load
1,backpack have wheel
1,dragon breath fire
0,animal eat conduct
0,person wear archives
0,technician involve food
0,person buy stinks
1,cabinet store something
1,person carry dart
0,burrito use battery
0,snake have leg
0,person wear webmaster
0,shoot involve food
1,checkers have lot
0,person use whale
0,frog have fur
0,burrow have tree
0,person store hospital
0,waterwheel require electricty
1,play cost money
1,crown help human
1,person hold tissue
1,cattleman involve animal
1,squid have leg
0,compost have plug
1,child like kid
0,smokescreen involve wafe
0,monogram use water
0,vodka need sunlight
1,dove have tail
1,slap make noise
1,person eat croaker
0,crasher operate engine
1,puma have fur
1,doctor have job
0,pourer tell time
0,honker have screen
0,clitoris have brain
1,child use case
1,people use beverage
0,hope have poison
0,soda involve building
0,person hold tearoom
1,tea cost money
1,gladiator require skill
1,lights require electricity
1,person hold ruler
1,statesman involve kid
1,people use butter
1,electricity inflict pain
1,person hold hippo
0,person hold lavatory
1,kid use kettledrum
0,crab have scale
0,tit cut hair
0,person drive triage
0,research have color
1,litmus have purpose
1,person hold narcotics
1,person hear mosquito
1,jug hold water
1,fax require electricity
0,field require sorce
1,woman wear dress
0,voiceing have handle
0,swarm cost money
0,mute make noise
0,tonic involve work
0,scan have flower
0,person buy talent
0,person feed worth
1,pheasant have tail
0,person touch time
1,person touch vermouth
1,toaster have switch
1,muskrat have fur
0,bridge have face
0,rain have handle
0,person eat tinderbox
0,person use presoak
1,speakers make sound
1,mouse have leg
0,mongrel involve writing
1,captain require work
1,fighter make noise
0,person wear drill
1,cart have wheel
1,fawn have fur
0,dump involve entertainment
1,person buy school
0,snake have fur
0,oregano have heart
0,swimming involve driving
1,person touch target
0,people eat warrior
1,tree have leave
1,goddaughter wear makeup
0,person read mouse
1,person touch pebble
0,person use sawmill
0,person eat dumbwaiter
0,complete involve ethnicity
1,hobby make noise
1,family have heartbeat
0,shedder have wheel
1,terminal cost money
0,person eat kindling
0,law have electrtical
0,person eat uncle
1,person hold jade
0,horse have door
1,reading take more
0,person wear dumbwaiter
0,bloodworm have wing
0,person wear shakers
1,kid love eggnog
1,herbivore have claw
0,trucker have fur
1,perfume have scent
0,licence have tail
1,basement have door
1,slime cost lot
0,brooder involve comedy
1,aperson wear watch
1,column have color
0,ligament have wheel
1,womb birth child
1,gear use gas
0,person eat moneybag
0,brush have shell
0,time have fur
0,registrar involve surveillance
0,person use reel
0,cloud have gender
1,schoolmistress create design
