label,text
1,carnivore make noise
0,people wear drone
0,ringtail have spike
1,squad involve sport
1,ferryboat move object
1,whale eat plankton
1,possum have leg
1,layperson help other
1,golfing take lot
1,trafficker require type
0,person eat interview
0,stone have brain
1,person touch school
1,bookshelf have shelf
0,teenager use consumer
1,people desire exhibitionist
0,caricaturist involve cpr
0,tree tell time
0,person eat plate
1,chop use eye
1,dogs involve animal
1,anyone use bullet
1,cookbook have color
0,detonator involve writing
1,person notice waitperson
1,people use school
1,thumbtack hold thing
1,freezer hold ice
0,horn have tooth
0,person hold star
1,person wear brassiere
1,person wear logo
1,genome have mass
1,cones cost $
0,jammer clean thing
0,article have motor
1,meetinghouse have address
1,person touch dowry
1,concubine have job
1,everyone have job
0,curry require type
1,beacon make noise
1,kid like merchandise
0,person hold sap-sucking
1,window let light
0,person eat tumbler
1,trainer require education
0,mountain have door
0,shank grow root
0,person throw house
0,person wear postcard
0,person eat lunchbox
0,people have angel
1,banana have color
1,coyote eat meat
1,footbath use electricity
0,man wear many
0,bandage use battery
0,can have frosting
1,bulldog bite thing
1,subpoena hurt person
0,hippo have armor
0,dinghy have leg
1,housekeeper take place
0,ammonia hold thing
1,isle have one
0,ballad have shape
1,person touch whore
0,brain involve fire
1,whirlybird have engine
1,campsite require human
1,hombre hurt person
0,lotus bear fruit
1,employer have arm
1,cleaner require schooling
0,person wear documentation
0,lining use electricity
0,fuel have wheel
0,person drive tearoom
0,pleasant require electricity
1,people use water
0,chicken have scale
0,furnishings make noise
1,arrow cut thing
0,person eat spade
1,hatchet cut thing
1,school have window
1,person lift denim
1,prisoner make noise
1,person use coil
1,person hate flower
1,person crank pulley
1,hustler make money
1,roofline help pepople
1,quicksand cause damage
0,jackass have horn
0,rug involve writing
1,person hold sweetener
1,nameplate make noise
1,person see mines
1,hookers require skill
0,person ride peel
0,snowdrift have page
1,person see habitat
1,jacket have button
1,cat climb tree
1,brontosaurus have mouth
0,person hold luncheon
1,cage hold something
1,ballplayer have head
1,person use potluck
1,silkworm climb tree
0,person wear neat
0,flusher have feeling
1,shilling serve purpose
1,garlic have leave
1,subcontractor have skin
1,person use mop
0,contract have hair
1,firehouse use electricity
0,person hold ballad
1,tortoise have shell
0,tea play music
0,person touch conduct
0,poison make noise
0,gaming hold something
1,kid like ghost
0,mannequin need gas
1,martini have odor
0,person eat liner
0,person throw loss
1,person hold tapestry
1,person touch undershorts
1,fish have brain
1,person eat baits
0,fingernail tell time
1,processor use eletricity
1,hustler have penis
0,person make maiden
1,scope cost more
0,tinsel take battery
1,kid like nougat
1,barracuda lay egg
0,dope breathe oxygen
0,methane hit earth
1,suitcase have mirror
0,transit involve investment
0,beans have alcohol
